ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.000776,4.616021,8.576031,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,27,2020-03-19 12:13:04:880
0.718261,4.209007,8.446744,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,527,2020-03-19 12:13:05:380
-0.909797,-0.282516,9.203311,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,1027,2020-03-19 12:13:05:880
5.09965,0.148441,8.418014,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,1526,2020-03-19 12:13:06:379
1.762132,-0.162806,9.251195,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,2027,2020-03-19 12:13:06:880
-0.086191,-0.148441,9.787497,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,2527,2020-03-19 12:13:07:380
-0.062249,-0.191536,9.773131,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,3026,2020-03-19 12:13:07:879
-0.057461,-0.114922,9.763555,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,3527,2020-03-19 12:13:08:380
-0.124498,-0.162806,9.782708,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,4027,2020-03-19 12:13:08:880
-0.138864,-0.124498,9.768343,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,4526,2020-03-19 12:13:09:379
-0.095768,-0.129287,9.773131,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,5026,2020-03-19 12:13:09:879
-0.114922,-0.134075,9.782708,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 0,5527,2020-03-19 12:13:10:380
-0.114922,-0.134075,9.744401,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 1,6027,2020-03-19 12:13:10:880
-0.09098,-0.143652,9.773131,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 1,6526,2020-03-19 12:13:11:379
-0.095768,-0.129287,9.782708,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 1,7027,2020-03-19 12:13:11:880
-0.105345,-0.114922,9.763555,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 1,7527,2020-03-19 12:13:12:380
-0.148441,-0.148441,9.787497,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 6,8026,2020-03-19 12:13:12:879
-0.134075,-0.105345,9.773131,8.0,49.828648,24.04618,333.9,NaN,,21.047,,0 / 6,8527,2020-03-19 12:13:13:380
-0.100556,-0.124498,9.763555,8.0,49.828648,24.04618,333.9,NaN,,21.047,,5 / 5,9027,2020-03-19 12:13:13:880
-0.081403,-0.110133,9.744401,8.0,49.828648,24.04618,333.9,NaN,,21.047,,5 / 5,9527,2020-03-19 12:13:14:380
-0.124498,-0.153229,9.773131,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,10027,2020-03-19 12:13:14:880
-0.320823,-0.191536,9.792285,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,10527,2020-03-19 12:13:15:380
0.148441,-0.234632,9.768343,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,11026,2020-03-19 12:13:15:879
0.407014,0.023942,9.80665,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,11527,2020-03-19 12:13:16:380
-0.311246,-0.167594,9.768343,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,12027,2020-03-19 12:13:16:880
-0.038307,-0.244209,9.782708,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,12527,2020-03-19 12:13:17:380
-0.114922,-0.158017,9.801862,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,13026,2020-03-19 12:13:17:879
-0.124498,-0.114922,9.758766,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,13527,2020-03-19 12:13:18:380
-0.167594,-0.124498,9.667787,8.0,49.828434,24.046211,343.0,NaN,2.124,19.0,34.2,5 / 6,14027,2020-03-19 12:13:18:880
