ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.151545,1.781286,2.173935,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,16 / 17,38,2020-03-20 15:43:03:754
2.020706,3.706224,9.921572,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,16 / 17,538,2020-03-20 15:43:04:254
1.762132,4.242526,8.078037,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,17 / 17,1039,2020-03-20 15:43:04:755
-0.445322,11.080365,6.756438,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,17 / 17,1539,2020-03-20 15:43:05:255
5.573702,13.43626,15.05474,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 18,2038,2020-03-20 15:43:05:754
1.781286,3.854665,7.685388,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 18,2539,2020-03-20 15:43:06:255
-4.941632,3.677494,4.376601,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 18,3039,2020-03-20 15:43:06:755
6.416461,-3.1795,-2.197877,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 18,3538,2020-03-20 15:43:07:254
18.780119,19.091364,25.775976,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 19,4039,2020-03-20 15:43:07:755
4.007894,13.273455,5.683835,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 19,4539,2020-03-20 15:43:08:255
0.004788,-8.925584,-4.19943,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,5039,2020-03-20 15:43:08:755
9.552865,6.196194,15.389929,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,5538,2020-03-20 15:43:09:254
2.853889,8.197747,11.425131,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,6038,2020-03-20 15:43:09:754
3.394978,-9.375694,-2.892196,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,6538,2020-03-20 15:43:10:254
7.196971,9.878476,0.718261,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,17 / 20,7038,2020-03-20 15:43:10:754
18.904617,15.370775,16.184803,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,17 / 20,7538,2020-03-20 15:43:11:254
2.978387,-0.948104,2.221819,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,8039,2020-03-20 15:43:11:755
0.430956,8.872911,2.475605,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,8539,2020-03-20 15:43:12:255
13.924677,6.224925,0.890643,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,9039,2020-03-20 15:43:12:755
1.58975,-6.933608,-4.003105,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,9538,2020-03-20 15:43:13:254
1.733402,7.268797,2.662352,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,10038,2020-03-20 15:43:13:754
22.141577,17.166426,7.196971,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,20 / 20,10539,2020-03-20 15:43:14:255
2.75812,-0.138864,4.644751,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 20,11038,2020-03-20 15:43:14:754
-2.566584,4.582502,11.377247,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,18 / 20,11538,2020-03-20 15:43:15:254
22.720974,5.401319,2.413355,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,12038,2020-03-20 15:43:15:754
21.86385,12.014104,8.130709,8.0,49.82906,24.045338,336.0,NaN,7.704,8.5,316.9,19 / 20,12539,2020-03-20 15:43:16:255
