ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.763685,-5.980716,7.891289,8.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,19,2020-03-19 20:16:28:529
5.386954,-11.070788,7.129933,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,519,2020-03-19 20:16:29:029
-3.011906,-6.41646,-3.294421,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,1019,2020-03-19 20:16:29:529
-3.399766,-9.361329,0.746991,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,1519,2020-03-19 20:16:30:029
-2.485181,-15.093047,-1.608903,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,2019,2020-03-19 20:16:30:529
6.6894,-14.269443,-8.130708,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,2520,2020-03-19 20:16:31:030
4.146757,-11.171345,-0.59855,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,3019,2020-03-19 20:16:31:529
-4.371812,-2.662352,0.167594,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,3519,2020-03-19 20:16:32:029
2.873042,-11.621455,1.053449,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,4019,2020-03-19 20:16:32:529
-0.282516,-4.831499,-1.714248,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,4520,2020-03-19 20:16:33:030
1.345541,-7.173028,-0.474052,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,5020,2020-03-19 20:16:33:530
-0.043096,-10.922348,-5.60722,0.0,49.84883,24.038143,381.0,NaN,3.96,7.0,244.2,24 / 25,5520,2020-03-19 20:16:34:030
